200 0.25
173.66 -24.862000000000002 -40.66
15.405666666666667 -2.6889333333333334 -28.26033333333333
4.3725000000000005 -1.0015 -2.4221999999999997
1.8424771428571427 -2.2174428571428573 -2.187042857142857
1.056678888888889 -1.8847111111111112 -1.262111111111111
0.7904027272727273 -1.0725272727272728 -0.8074272727272727
0.6777966153846154 -0.6146153846153846 -0.5535153846153846
0.5762913333333334 -0.34464666666666666 -0.3986166666666666
0.4379782352941176 -0.1783817647058824 -0.2980217647058824
0.26648263157894736 -0.07142736842105263 -0.22938736842105267
0.09428238095238095 -0.006307619047619062 -0.18069761904761905
-0.019093913043478294 0.0001660869565217049 -0.14490391304347827
-0.030179999999999985 4.999999999999449e-05 -0.11795
-0.0036737037037037346 -4.370370370371246e-05 -0.09712370370370371
0.00017206896551724693 -5.7931034482761046e-05 -0.08062793103448274
-2.548387096773519e-05 0.0001345161290322583 -0.06730548387096774
9.424242424244111e-05 -0.00042575757575757933 -0.056335757575757595
-0.0001085714285714301 -0.00023857142857144908 -0.047148571428571456
-1.3783783783777315e-05 -0.00010378378378378406 -0.03931378378378375
2.820512820511656e-05 -5.179487179488018e-05 -0.03252179487179488
2.1951219512206244e-05 -1.8048780487806004e-05 -0.026548048780487804
1.6511627906973247e-05 -3.4883720930189988e-06 -0.021253488372093038
-3.222222222221127e-05 -1.2222222222219026e-05 -0.016512222222222206
2.7659574468041903e-06 -7.234042553205811e-06 -0.012197234042553184
2.5306122448970347e-05 5.306122448978101e-06 -0.008294693877551024
2.745098039214078e-06 -7.254901960795923e-06 -0.0047572549019608
-6.603773584912265e-06 3.396226415097736e-06 -0.001546603773584898
-5.454545454558479e-06 4.545454545451522e-06 0.0013345454545454494
-9.122807017564183e-06 8.77192982445818e-07 0.0038908771929824504
3.2203389830620655e-06 3.2203389830620655e-06 0.006103220338983056
-1.2459016393434608e-05 -2.4590163934246068e-06 0.00795754098360657
1.4126984126977549e-05 4.126984126967548e-06 0.009454126984126981
5.692307692307941e-05 -3.076923076911209e-06 0.010546923076923079
7.298507462685788e-05 2.9850746268572648e-06 0.011242985074626857
3.202898550724864e-05 2.0289855072463947e-06 0.011522028985507249
1.60563380281753e-05 6.056338028165298e-06 0.011396056338028177
-9.589041096019768e-07 -9.589041096019768e-07 0.01079304109589041
6.666666666668708e-06 -3.333333333327415e-06 0.010021666666666679
6.103896103906714e-06 -3.896103896103287e-06 0.009119103896103903
-4.177215189873906e-06 -4.177215189873906e-06 0.008170822784810128
2.432098765423052e-06 2.432098765423052e-06 0.007379432098765432
-1.4578313252966435e-06 -1.4578313252966435e-06 0.006670542168674701
1.6470588235228956e-06 1.6470588235228956e-06 0.0060296470588235285
